Na2O,MgO,Al2O3,SiO2,P2O5,SO3,Cl,K2O,CaO,TiO2,Cr2O3,MnO,FeO,Ni,Zn,Br,Filename,Sol
6.55,3.05,16.4,50.7,0.42,2.5,0.77,2.33,6.12,0.73,0,0.13,10.1,0.0016,0.018,0.0073,apa_401575435rwp00460042100_______p1.csv,46
6.07,3.8,14.9,49.5,0.51,3.05,0.9,2.09,6.54,0.91,0.03,0.16,11.4,0,0.0283,0.007,apa_401664752rwp00470042100_______p1.csv,47
5.8,3.56,14.8,49.2,0.68,2.76,0.84,1.99,6.89,1.01,0,0.23,12.1,0.0045,0.0275,0.0077,apa_401715030rwp00480042100_______p1.csv,48
1.94,6.67,7.9,43.8,0.73,3.08,0.66,2.27,6.39,1.44,0.31,0.82,23.7,0.0292,0.1079,0.0008,apa_402284882rwp00540043232_______p1.csv,54
1.85,6.89,8,44.1,0.82,3.3,0.73,3,6.55,1.37,0.25,0.43,22.5,0.0229,0.0978,0.0027,apa_402287992rwp00540043232_______p1.csv,54
1.96,5.52,9.41,43.1,0,6.79,1.13,0.76,7.44,1.65,0.09,0.3,21,0.0442,0.0502,0,apa_402644751rwp00580050000_______p1.csv,58
2.12,6.21,9.26,44.7,0,5.85,0.84,0.7,7.59,1.29,0.29,0.33,20.1,0.0388,0.047,0.0009,apa_402640291rwp00580050000_______p1.csv,58
2.8,3.35,8.11,43.6,0,3.92,0.99,1.91,4.77,1.09,0.14,0.22,27.5,0.0518,0.0463,0.0058,apa_405125707rwp00860050104_______p1.csv,86
2.22,6.53,9.56,43.7,0.53,5.18,0.61,0.59,7.38,1.54,0.42,0.44,21,0.0311,0.0269,0.0032,apa_405370296rwp00890050104_______p1.csv,89
2.41,3.02,8.08,44.21,0,3.92,0.71,1.71,4.45,1.07,0,0.42,29.21,0.0166,0.0395,0.0041,apa_405536150rwp00910050104_______p1.csv,91
3.54,3.99,10.38,46.04,0.96,3.99,0.79,1.96,6.17,1.29,0.16,0.46,20.01,0.0266,0.0733,0.0061,apa_406545731rwp01020050178_______p1.csv,102
2.94,6.47,9.31,43.03,0.73,7.13,1.08,1.13,6.88,1.1,0.38,0.46,19.17,0.0197,0.0524,0.0078,apa_407878177rwp01170050432_______p1.csv,117
2.52,6.36,8.99,43.16,0.83,6.8,1.08,1.09,6.98,1.15,0.44,0.54,19.87,0.0215,0.053,0.0085,apa_407918149rwp01170050432_______p1.csv,117
1.9,6.93,8.39,42.47,0.71,6.05,1.22,0.56,6.65,1.41,0.36,0.39,22.64,0.0362,0.0658,0.0176,apa_408946543rwp01290051576_______p1.csv,129
2.15,6.65,8.1,41.9,0.79,6.12,1.04,0.5,6.77,1.27,0.4,0.39,23.63,0.0322,0.066,0.0303,apa_408992063rwp01300051576_______p1.csv,130
2.22,7.22,9.16,45.74,0.74,2.93,0.98,0.61,6.55,1.49,0.43,0.31,21.38,0.0231,0.0487,0.007,apa_409208739rwp01320051662_______p1.csv,132
1.75,6.42,7.41,43.71,0.18,5.4,1.36,0.46,6.94,1.33,0.67,0.35,23.64,0.0143,0.0676,0.0123,apa_410718885rwp01490051902_______p1.csv,149
2.05,6.73,8.19,42.7,0.89,5.93,1.11,0.58,6.52,1.34,0.43,0.34,22.89,0.0372,0.0676,0.0286,apa_410805967rwp01500051902_______p1.csv,150
2.22,6.69,8.39,43.77,0.91,5.89,1.24,0.64,6.33,1.25,0.33,0.25,21.83,0.0352,0.0632,0.0272,apa_410773493rwp01500051902_______p1.csv,150
2.47,7.72,8.54,45.51,0.93,2.6,1.57,0.71,5.99,1.19,0.36,0.22,21.92,0.0341,0.0637,0.0287,apa_410840563rwp01500051902_______p1.csv,150
2.1,6.41,8.11,40.81,0.84,9.25,1.28,0.63,7.93,1.16,0.29,0.23,20.7,0.056,0.0502,0.0084,apa_411191263rwp01540051954_______p1.csv,154
1.56,7.22,8.1,45.21,0.24,4.09,1.54,0.52,5.95,1.14,0.41,0.3,23.48,0.0106,0.0558,0.0115,apa_411166790rwp01540051954_______p1.csv,154
1.5,4.52,5.07,25.73,0.58,28.8,0.9,0.33,18.95,0.66,0.13,0.2,12.49,0.0194,0.0252,0.0139,apa_411516167rwp01580051954_______p1.csv,158
2.3,7.04,9.05,44.92,0.98,3.87,1.7,0.69,5.45,1.26,0.35,0.21,21.91,0.0468,0.0609,0.0174,apa_411550498rwp01580051954_______p1.csv,158
2.58,6.19,10.26,43.99,0.81,6.64,0.89,0.74,7.04,1.33,0.24,0.36,18.69,0.0273,0.0402,0.0067,apa_411817414rwp01610051986_______p1.csv,161
1.93,6.65,8.12,44.69,0.63,4.82,1.24,0.63,6.16,1.36,0.39,0.32,22.75,0.0434,0.0643,0.0224,apa_411786284rwp01610051986_______p1.csv,161
2.09,7.01,8.55,44.88,0.8,4.73,1.51,0.64,5.88,1.11,0.34,0.23,21.92,0.0657,0.0682,0.0183,apa_411782708rwp01610051986_______p1.csv,161
2.2,6.74,8.1,42.88,0.88,6.23,1.27,0.61,6,1.28,0.2,0.33,23,0.0425,0.0657,0.0128,apa_411871303rwp01620051986_______p1.csv,162
2.04,7.06,7.69,38.24,0.73,12.86,1.27,0.52,9.6,0.91,0.25,0.23,18.33,0.0464,0.0518,0.0167,apa_412166565rwp01650052270_______p1.csv,165
2.15,6.58,7.92,38.81,0.63,11.92,1.27,0.57,9.3,1.16,0.33,0.27,18.84,0.0504,0.0538,0.0129,apa_412167507rwp01650052270_______p1.csv,165
2.12,7.4,7.85,42.75,0.69,6.21,1.38,0.49,5.33,1.15,0.16,0.34,23.85,0.0671,0.0666,0.0154,apa_412169393rwp01650052270_______p1.csv,165
2.41,6.74,9.72,44.98,0.69,4.89,1.18,0.88,6.05,1.25,0.37,0.37,20.09,0.0382,0.0605,0.0138,apa_412168451rwp01650052270_______p1.csv,165
